,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
4236,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249189,0-6,0-6,111000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,110/1,11000,OPEN,ENABLED,0,6
4237,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249197,0-7,0-7,301000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,300/1,30000,OPEN,ENABLED,0,7
4238,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249205,1-0,1-0,16000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,15/1,1500,OPEN,ENABLED,1,0
4239,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249213,1-1,1-1,8000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,7/1,700,OPEN,ENABLED,1,1
4240,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249220,1-2,1-2,8000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,7/1,700,OPEN,ENABLED,1,2
4241,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249227,1-3,1-3,11000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,10/1,1000,OPEN,ENABLED,1,3
4242,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249233,1-4,1-4,19000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,18/1,1800,OPEN,ENABLED,1,4
4243,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249239,1-5,1-5,41000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,40/1,4000,OPEN,ENABLED,1,5
4244,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249246,1-6,1-6,91000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,90/1,9000,OPEN,ENABLED,1,6
4245,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249252,1-7,1-7,251000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,250/1,25000,OPEN,ENABLED,1,7
4246,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249258,2-0,2-0,25000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,24/1,2400,OPEN,ENABLED,2,0
4247,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249264,2-1,2-1,13000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,12/1,1200,OPEN,ENABLED,2,1
4248,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249272,2-2,2-2,12000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,11/1,1100,OPEN,ENABLED,2,2
