,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
75,2480017762,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1022274708,3593920831,Meer dan,Over,1840.0,2500.0,,OT_OVER,2025-01-21T14:53:00Z,5/6,-120,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
76,2480017762,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1022274708,3593920837,Minder dan,Under,1950.0,2500.0,,OT_UNDER,2025-01-21T14:53:00Z,19/20,-106,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
77,2480017764,1001159666,Draw No Bet,Draw No Bet,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022274708,3593920852,1,1,2300.0,,Bologna,1,2025-01-21T14:53:02Z,13/10,130,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
78,2480017764,1001159666,Draw No Bet,Draw No Bet,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022274708,3593920858,2,2,1610.0,,Borussia Dortmund,2,2025-01-21T14:53:02Z,3/5,-165,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
79,2480017767,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1022274708,3593920870,Bologna,Bologna,1490.0,750.0,Bologna,OT_UNTYPED,2025-01-21T14:53:01Z,12/25,-205,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
80,2480017767,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1022274708,3593920876,Borussia Dortmund,Borussia Dortmund,2600.0,-750.0,Borussia Dortmund,OT_UNTYPED,2025-01-21T14:53:01Z,8/5,160,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
81,2484152311,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176502,Meer dan,Over,16000.0,3500.0,,OT_OVER,2025-01-21T14:52:59Z,15/1,1500,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
82,2484152311,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176504,Minder dan,Under,1010.0,3500.0,,OT_UNDER,2025-01-21T14:52:59Z,1/100,-10000,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
83,2484152312,1003194956,Totaal Aantal Doelpunten door Borussia Dortmund - 1e Helft,Total Goals by Borussia Dortmund - 1st Half,,,6,Over/Onder,Over/Under,1022274708,3608176503,Meer dan,Over,1960.0,500.0,,OT_OVER,2025-01-21T14:53:00Z,19/20,-105,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
84,2484152312,1003194956,Totaal Aantal Doelpunten door Borussia Dortmund - 1e Helft,Total Goals by Borussia Dortmund - 1st Half,,,6,Over/Onder,Over/Under,1022274708,3608176506,Minder dan,Under,1740.0,500.0,,OT_UNDER,2025-01-21T14:53:00Z,8/11,-136,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
85,2484152317,1002035671,Totaal Aantal Schoten op Doel door Borussia Dortmund (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Borussia Dortmund (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176511,Meer dan,Over,1930.0,5500.0,,OT_OVER,2025-01-21T14:53:00Z,10/11,-108,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
86,2484152317,1002035671,Totaal Aantal Schoten op Doel door Borussia Dortmund (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Borussia Dortmund (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176517,Minder dan,Under,1770.0,5500.0,,OT_UNDER,2025-01-21T14:53:00Z,3/4,-130,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
87,2484152324,1002035667,Totaal Aantal Schoten op Doel (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176529,Meer dan,Over,1680.0,9500.0,,OT_OVER,2025-01-21T14:53:00Z,4/6,-148,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
88,2484152324,1002035667,Totaal Aantal Schoten op Doel (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176534,Minder dan,Under,2050.0,9500.0,,OT_UNDER,2025-01-21T14:53:00Z,21/20,105,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
